Phrase,Label
I need some chai,Neutral
Where's the remote?,Neutral
I need a break,Negative
Let's meet up,Positive 
Happy Monday!,Positive 
Good morning!,Neutral
I love coding!,Positive 
Good morning!,Neutral
Good morning!,Neutral
I miss you,Positive 
Time for snacks,Neutral
I miss you,Positive 
Time for snacks,Neutral
Let's go for a walk,Positive 
Where's my coffee?,Neutral
I'm feeling sleepy,Negative
I'm feeling sleepy,Negative
Where's my coffee?,Neutral
Can we play music?,Positive 
Can we watch a movie?,Positive 
I understand,Positive 
Let's go for a walk,Negative
I need a break,Negative
Can we play music?,Neutral
Can we watch a movie?,
What's for lunch?,Neutral
Let's meet up,Positive 
I need some chai,Neutral
Let's meet up,Positive 
I'm feeling sleepy,Neutral
I need a break,Negative
I understand,Positive 
I need some chai,Neutral
Where's my coffee?,Positive 
I understand,Neutral
I'm feeling sleepy,Neutral
I'm excited!,Positive 
Let's meet up,Positive 
I'm feeling sleepy,Neutral
I need some chai,Neutral
Where's the remote?,Neutral
Happy Monday!,Positive 
Can we play music?,Positive 
I'm happy,Positive 
Where's my coffee?,Neutral
Where's my coffee?,Neutral
Let's meet up,Positive 
What's for lunch?,Neutral
Good morning!,Neutral
Can we watch a movie?,Positive 
Let's go for a walk,Positive 
I miss you,Positive 
I need some chai,Neutral
Let's meet up,Positive 
I'm feeling sleepy,Neutral
I need some chai,Neutral
Let's meet up,Positive 
Where's the remote?,Neutral
Happy Monday!,Positive 
Let's go for a walk,Positive 
I love coding!,Positive 
I'm feeling sleepy,Neutral
Let's go for a walk,Positive 
Let's go for a walk,Positive 
Where's my coffee?,Neutral
Where's the remote?,Neutral
Where's the remote?,Neutral
Where's my coffee?,Neutral
Good night!,Neutral
Can we watch a movie?,Positive 
Please call,Negative
What's for lunch?,Neutral
What's for lunch?,Neutral
I understand,Positive 
I'm happy,Positive 
What's for lunch?,Neutral
Good night!,Neutral
Time for snacks,Neutral
I love coding!,Positive 
Can we watch a movie?,Positive 
Can we play music?,Positive 
Can we watch a movie?,Positive 
Can we watch a movie?,Positive 
Where's my coffee?,Neutral
Good morning!,Neutral
Let's go for a walk,Positive 
Good night!,Neutral
Where's the remote?,Neutral
Can we play music?,Positive 
Happy Monday!,Neutral
Happy Monday!,Neutral
Where's the remote?,Neutral
I'm happy,Positive 
I'm happy,Positive 
Where's my coffee?,Neutral
Happy Monday!,Neutral
I need some chai,Neutral
I'm happy,Positive 
Where's the remote?,Neutral
What's for lunch?,Neutral
